INSERT INTO Booking VALUES ('B0001', '12-JAN-2018', 3, 'PAID', 170.00, 'I0001', 'T0005');
INSERT INTO Booking VALUES ('B0089', '23-JUL-2019', 1, 'REFUNDED', 180.00, 'I0001', 'T0024');
INSERT INTO Booking VALUES ('B0090', '07-AUG-2019', 3, 'CANCELED', 110.00, 'I0008', 'T0024');
INSERT INTO Booking VALUES ('B0091', '07-AUG-2019', 3, 'CANCELED', 110.00, 'I0005', 'T0004');
INSERT INTO Booking VALUES ('B0092', '08-AUG-2019', 7, 'REFUNDED', 100.00, 'I0007', 'T0026');
INSERT INTO Booking VALUES ('B0093', '21-AUG-2019', 6, 'PENDING PAYMENT', 190.00, 'I0007', 'T0007');
INSERT INTO Booking VALUES ('B0094', '27-AUG-2019', 4, 'PAID', 200.00, 'I0002', 'T0028');
INSERT INTO Booking VALUES ('B0095', '10-SEP-2019', 7, 'PAID', 110.00, 'I0003', 'T0008');
INSERT INTO Booking VALUES ('B0096', '15-SEP-2019', 2, 'FAILED', 170.00, 'I0010', 'T0004');
INSERT INTO Booking VALUES ('B0097', '19-SEP-2019', 2, 'PAID', 180.00, 'I0006', 'T0007');
INSERT INTO Booking VALUES ('B0098', '05-OCT-2019', 6, 'REFUNDED', 170.00, 'I0003', 'T0025');
INSERT INTO Booking VALUES ('B0099', '07-OCT-2019', 2, 'CANCELED', 190.00, 'I0004', 'T0028');
INSERT INTO Booking VALUES ('B0100', '09-OCT-2019', 2, 'CANCELED', 110.00, 'I0009', 'T0026');
INSERT INTO Booking VALUES ('B0101', '18-OCT-2019', 4, 'FAILED', 190.00, 'I0006', 'T0002');
INSERT INTO Booking VALUES ('B0102', '01-NOV-2019', 4, 'PENDING PAYMENT', 130.00, 'I0005', 'T0007');
INSERT INTO Booking VALUES ('B0103', '01-NOV-2019', 2, 'CANCELED', 150.00, 'I0002', 'T0020');
INSERT INTO Booking VALUES ('B0104', '03-NOV-2019', 2, 'REFUNDED', 110.00, 'I0004', 'T0007');
INSERT INTO Booking VALUES ('B0105', '05-NOV-2019', 3, 'CANCELED', 130.00, 'I0001', 'T0012');
INSERT INTO Booking VALUES ('B0106', '15-NOV-2019', 1, 'PENDING PAYMENT', 110.00, 'I0003', 'T0003');
INSERT INTO Booking VALUES ('B0107', '24-NOV-2019', 4, 'CANCELED', 140.00, 'I0004', 'T0013');
INSERT INTO Booking VALUES ('B0108', '01-DEC-2019', 2, 'CANCELED', 130.00, 'I0003', 'T0006');
INSERT INTO Booking VALUES ('B0109', '13-DEC-2019', 4, 'PAID', 120.00, 'I0006', 'T0003');
INSERT INTO Booking VALUES ('B0110', '13-DEC-2019', 7, 'CANCELED', 150.00, 'I0001', 'T0006');
INSERT INTO Booking VALUES ('B0111', '23-DEC-2019', 1, 'PENDING PAYMENT', 160.00, 'I0005', 'T0004');
INSERT INTO Booking VALUES ('B0112', '04-JAN-2020', 4, 'CANCELED', 150.00, 'I0010', 'T0006');
INSERT INTO Booking VALUES ('B0113', '08-JAN-2020', 1, 'FAILED', 140.00, 'I0010', 'T0004');
INSERT INTO Booking VALUES ('B0114', '20-JAN-2020', 2, 'PAID', 180.00, 'I0007', 'T0030');
INSERT INTO Booking VALUES ('B0115', '22-JAN-2020', 6, 'FAILED', 150.00, 'I0001', 'T0030');
INSERT INTO Booking VALUES ('B0116', '28-JAN-2020', 4, 'PAID', 170.00, 'I0004', 'T0026');
INSERT INTO Booking VALUES ('B0117', '09-FEB-2020', 4, 'FAILED', 180.00, 'I0010', 'T0023');
INSERT INTO Booking VALUES ('B0118', '16-FEB-2020', 2, 'REFUNDED', 200.00, 'I0007', 'T0026');
INSERT INTO Booking VALUES ('B0119', '18-FEB-2020', 5, 'PAID', 120.00, 'I0004', 'T0025');
INSERT INTO Booking VALUES ('B0120', '24-FEB-2020', 6, 'CANCELED', 100.00, 'I0002', 'T0011');
INSERT INTO Booking VALUES ('B0121', '10-MAR-2020', 6, 'PAID', 110.00, 'I0004', 'T0030');
INSERT INTO Booking VALUES ('B0122', '13-MAR-2020', 7, 'PAID', 130.00, 'I0006', 'T0001');
INSERT INTO Booking VALUES ('B0123', '16-MAR-2020', 6, 'PAID', 200.00, 'I0008', 'T0009');
INSERT INTO Booking VALUES ('B0124', '17-MAR-2020', 6, 'REFUNDED', 170.00, 'I0006', 'T0024');
INSERT INTO Booking VALUES ('B0125', '28-MAR-2020', 7, 'CANCELED', 150.00, 'I0003', 'T0030');
INSERT INTO Booking VALUES ('B0126', '14-APR-2020', 1, 'REFUNDED', 120.00, 'I0001', 'T0016');
INSERT INTO Booking VALUES ('B0127', '27-APR-2020', 1, 'PENDING PAYMENT', 110.00, 'I0004', 'T0002');
INSERT INTO Booking VALUES ('B0128', '01-MAY-2020', 3, 'PAID', 130.00, 'I0004', 'T0011');
INSERT INTO Booking VALUES ('B0129', '09-MAY-2020', 1, 'PAID', 110.00, 'I0010', 'T0021');
INSERT INTO Booking VALUES ('B0130', '22-MAY-2020', 3, 'CANCELED', 160.00, 'I0009', 'T0028');
INSERT INTO Booking VALUES ('B0131', '08-JUN-2020', 3, 'CANCELED', 140.00, 'I0002', 'T0010');
INSERT INTO Booking VALUES ('B0132', '16-JUN-2020', 1, 'PENDING PAYMENT', 110.00, 'I0009', 'T0012');
INSERT INTO Booking VALUES ('B0133', '17-JUN-2020', 1, 'PENDING PAYMENT', 120.00, 'I0004', 'T0030');
INSERT INTO Booking VALUES ('B0134', '02-JUL-2020', 6, 'PAID', 160.00, 'I0004', 'T0007');
INSERT INTO Booking VALUES ('B0135', '07-JUL-2020', 6, 'CANCELED', 140.00, 'I0010', 'T0014');
INSERT INTO Booking VALUES ('B0136', '10-JUL-2020', 4, 'REFUNDED', 150.00, 'I0007', 'T0008');
INSERT INTO Booking VALUES ('B0137', '18-JUL-2020', 6, 'FAILED', 150.00, 'I0006', 'T0002');
INSERT INTO Booking VALUES ('B0138', '22-JUL-2020', 5, 'FAILED', 110.00, 'I0006', 'T0015');
INSERT INTO Booking VALUES ('B0139', '27-JUL-2020', 6, 'CANCELED', 130.00, 'I0007', 'T0003');
INSERT INTO Booking VALUES ('B0140', '10-AUG-2020', 7, 'FAILED', 190.00, 'I0010', 'T0014');
INSERT INTO Booking VALUES ('B0141', '11-AUG-2020', 7, 'PAID', 200.00, 'I0004', 'T0026');
INSERT INTO Booking VALUES ('B0142', '17-AUG-2020', 3, 'FAILED', 160.00, 'I0005', 'T0005');
INSERT INTO Booking VALUES ('B0143', '28-AUG-2020', 5, 'CANCELED', 150.00, 'I0006', 'T0023');
INSERT INTO Booking VALUES ('B0144', '05-SEP-2020', 1, 'FAILED', 100.00, 'I0002', 'T0016');
INSERT INTO Booking VALUES ('B0145', '15-SEP-2020', 1, 'PENDING PAYMENT', 130.00, 'I0005', 'T0023');
INSERT INTO Booking VALUES ('B0146', '26-SEP-2020', 2, 'PAID', 120.00, 'I0003', 'T0029');
INSERT INTO Booking VALUES ('B0147', '11-OCT-2020', 2, 'REFUNDED', 150.00, 'I0007', 'T0024');
INSERT INTO Booking VALUES ('B0148', '13-OCT-2020', 4, 'CANCELED', 160.00, 'I0009', 'T0020');
INSERT INTO Booking VALUES ('B0149', '16-OCT-2020', 5, 'CANCELED', 100.00, 'I0006', 'T0021');
INSERT INTO Booking VALUES ('B0150', '24-OCT-2020', 6, 'FAILED', 180.00, 'I0010', 'T0004');
INSERT INTO Booking VALUES ('B0151', '28-OCT-2020', 2, 'CANCELED', 160.00, 'I0004', 'T0023');
INSERT INTO Booking VALUES ('B0152', '02-NOV-2020', 2, 'CANCELED', 160.00, 'I0010', 'T0022');
INSERT INTO Booking VALUES ('B0153', '05-NOV-2020', 3, 'REFUNDED', 100.00, 'I0004', 'T0002');
INSERT INTO Booking VALUES ('B0154', '19-NOV-2020', 4, 'PAID', 200.00, 'I0004', 'T0016');
INSERT INTO Booking VALUES ('B0155', '21-NOV-2020', 5, 'CANCELED', 110.00, 'I0001', 'T0018');
INSERT INTO Booking VALUES ('B0156', '06-DEC-2020', 7, 'FAILED', 180.00, 'I0004', 'T0030');
INSERT INTO Booking VALUES ('B0157', '13-DEC-2020', 1, 'REFUNDED', 110.00, 'I0001', 'T0029');
INSERT INTO Booking VALUES ('B0158', '25-DEC-2020', 2, 'PENDING PAYMENT', 140.00, 'I0006', 'T0016');
INSERT INTO Booking VALUES ('B0159', '27-DEC-2020', 5, 'CANCELED', 130.00, 'I0005', 'T0003');
INSERT INTO Booking VALUES ('B0160', '03-JAN-2021', 4, 'REFUNDED', 120.00, 'I0006', 'T0011');
INSERT INTO Booking VALUES ('B0161', '13-JAN-2021', 5, 'REFUNDED', 160.00, 'I0009', 'T0011');
INSERT INTO Booking VALUES ('B0162', '20-JAN-2021', 6, 'PAID', 200.00, 'I0010', 'T0017');
INSERT INTO Booking VALUES ('B0163', '03-FEB-2021', 6, 'PENDING PAYMENT', 160.00, 'I0004', 'T0014');
INSERT INTO Booking VALUES ('B0164', '16-FEB-2021', 1, 'PENDING PAYMENT', 170.00, 'I0006', 'T0002');
INSERT INTO Booking VALUES ('B0165', '24-FEB-2021', 1, 'PAID', 140.00, 'I0006', 'T0024');
INSERT INTO Booking VALUES ('B0166', '25-FEB-2021', 4, 'REFUNDED', 190.00, 'I0009', 'T0001');
INSERT INTO Booking VALUES ('B0167', '03-MAR-2021', 3, 'PENDING PAYMENT', 130.00, 'I0010', 'T0007');
INSERT INTO Booking VALUES ('B0168', '12-MAR-2021', 6, 'REFUNDED', 140.00, 'I0006', 'T0022');
INSERT INTO Booking VALUES ('B0169', '13-MAR-2021', 1, 'FAILED', 150.00, 'I0008', 'T0017');
INSERT INTO Booking VALUES ('B0170', '18-MAR-2021', 3, 'FAILED', 130.00, 'I0003', 'T0022');
INSERT INTO Booking VALUES ('B0171', '04-APR-2021', 2, 'PENDING PAYMENT', 180.00, 'I0004', 'T0023');
INSERT INTO Booking VALUES ('B0172', '04-APR-2021', 5, 'PAID', 200.00, 'I0002', 'T0014');
INSERT INTO Booking VALUES ('B0173', '07-APR-2021', 5, 'PAID', 170.00, 'I0008', 'T0018');
INSERT INTO Booking VALUES ('B0174', '08-APR-2021', 2, 'PENDING PAYMENT', 130.00, 'I0010', 'T0025');
INSERT INTO Booking VALUES ('B0175', '13-APR-2021', 6, 'CANCELED', 190.00, 'I0003', 'T0027');
INSERT INTO Booking VALUES ('B0176', '21-APR-2021', 1, 'CANCELED', 150.00, 'I0003', 'T0022');
INSERT INTO Booking VALUES ('B0177', '07-MAY-2021', 3, 'CANCELED', 200.00, 'I0005', 'T0003');
INSERT INTO Booking VALUES ('B0178', '16-MAY-2021', 3, 'REFUNDED', 100.00, 'I0004', 'T0029');
INSERT INTO Booking VALUES ('B0179', '20-MAY-2021', 6, 'CANCELED', 140.00, 'I0007', 'T0017');
INSERT INTO Booking VALUES ('B0180', '28-MAY-2021', 6, 'PAID', 120.00, 'I0003', 'T0007');
INSERT INTO Booking VALUES ('B0181', '12-JUN-2021', 6, 'CANCELED', 160.00, 'I0008', 'T0003');
INSERT INTO Booking VALUES ('B0182', '24-JUN-2021', 2, 'PENDING PAYMENT', 140.00, 'I0010', 'T0019');
INSERT INTO Booking VALUES ('B0183', '03-JUL-2021', 6, 'PENDING PAYMENT', 160.00, 'I0006', 'T0026');
INSERT INTO Booking VALUES ('B0184', '04-JUL-2021', 6, 'PAID', 100.00, 'I0008', 'T0009');
INSERT INTO Booking VALUES ('B0185', '15-JUL-2021', 6, 'PENDING PAYMENT', 190.00, 'I0006', 'T0010');
INSERT INTO Booking VALUES ('B0186', '25-JUL-2021', 4, 'PENDING PAYMENT', 150.00, 'I0008', 'T0011');
INSERT INTO Booking VALUES ('B0187', '02-AUG-2021', 5, 'PAID', 180.00, 'I0005', 'T0012');
INSERT INTO Booking VALUES ('B0188', '16-AUG-2021', 7, 'FAILED', 130.00, 'I0010', 'T0009');
INSERT INTO Booking VALUES ('B0189', '16-AUG-2021', 5, 'PENDING PAYMENT', 160.00, 'I0006', 'T0002');
INSERT INTO Booking VALUES ('B0190', '20-AUG-2021', 4, 'PENDING PAYMENT', 200.00, 'I0005', 'T0006');
INSERT INTO Booking VALUES ('B0191', '21-AUG-2021', 4, 'REFUNDED', 100.00, 'I0010', 'T0010');
INSERT INTO Booking VALUES ('B0192', '21-AUG-2021', 6, 'CANCELED', 130.00, 'I0001', 'T0006');
INSERT INTO Booking VALUES ('B0193', '28-AUG-2021', 4, 'CANCELED', 120.00, 'I0007', 'T0004');
INSERT INTO Booking VALUES ('B0194', '01-SEP-2021', 2, 'REFUNDED', 150.00, 'I0006', 'T0026');
INSERT INTO Booking VALUES ('B0195', '03-SEP-2021', 7, 'CANCELED', 100.00, 'I0001', 'T0015');
INSERT INTO Booking VALUES ('B0196', '09-SEP-2021', 5, 'PENDING PAYMENT', 180.00, 'I0004', 'T0003');
INSERT INTO Booking VALUES ('B0197', '15-SEP-2021', 4, 'FAILED', 110.00, 'I0003', 'T0017');
INSERT INTO Booking VALUES ('B0198', '01-OCT-2021', 4, 'REFUNDED', 150.00, 'I0002', 'T0014');
INSERT INTO Booking VALUES ('B0199', '05-OCT-2021', 7, 'PENDING PAYMENT', 120.00, 'I0006', 'T0026');
INSERT INTO Booking VALUES ('B0200', '15-OCT-2021', 3, 'REFUNDED', 180.00, 'I0007', 'T0025');
INSERT INTO Booking VALUES ('B0201', '24-OCT-2021', 2, 'PENDING PAYMENT', 120.00, 'I0004', 'T0016');
INSERT INTO Booking VALUES ('B0202', '26-OCT-2021', 2, 'CANCELED', 100.00, 'I0002', 'T0029');
INSERT INTO Booking VALUES ('B0203', '08-NOV-2021', 5, 'PAID', 100.00, 'I0010', 'T0025');
INSERT INTO Booking VALUES ('B0204', '20-NOV-2021', 7, 'FAILED', 150.00, 'I0005', 'T0016');
INSERT INTO Booking VALUES ('B0205', '27-NOV-2021', 5, 'PENDING PAYMENT', 190.00, 'I0005', 'T0021');
INSERT INTO Booking VALUES ('B0206', '06-DEC-2021', 5, 'PAID', 180.00, 'I0010', 'T0008');
INSERT INTO Booking VALUES ('B0207', '15-DEC-2021', 5, 'PENDING PAYMENT', 160.00, 'I0005', 'T0024');
INSERT INTO Booking VALUES ('B0208', '17-DEC-2021', 4, 'REFUNDED', 150.00, 'I0003', 'T0019');
INSERT INTO Booking VALUES ('B0209', '20-DEC-2021', 3, 'PENDING PAYMENT', 100.00, 'I0004', 'T0019');
INSERT INTO Booking VALUES ('B0210', '06-JAN-2022', 4, 'FAILED', 150.00, 'I0009', 'T0030');
INSERT INTO Booking VALUES ('B0211', '12-JAN-2022', 1, 'PENDING PAYMENT', 170.00, 'I0003', 'T0028');
INSERT INTO Booking VALUES ('B0212', '13-JAN-2022', 1, 'REFUNDED', 110.00, 'I0002', 'T0028');
INSERT INTO Booking VALUES ('B0213', '19-JAN-2022', 7, 'FAILED', 170.00, 'I0009', 'T0024');
INSERT INTO Booking VALUES ('B0214', '04-FEB-2022', 1, 'FAILED', 170.00, 'I0002', 'T0011');
INSERT INTO Booking VALUES ('B0215', '09-FEB-2022', 3, 'PENDING PAYMENT', 190.00, 'I0007', 'T0005');
INSERT INTO Booking VALUES ('B0216', '12-FEB-2022', 5, 'REFUNDED', 140.00, 'I0009', 'T0018');
INSERT INTO Booking VALUES ('B0217', '18-FEB-2022', 3, 'CANCELED', 110.00, 'I0008', 'T0029');
INSERT INTO Booking VALUES ('B0218', '20-FEB-2022', 2, 'PAID', 110.00, 'I0008', 'T0014');
INSERT INTO Booking VALUES ('B0219', '05-MAR-2022', 6, 'PENDING PAYMENT', 200.00, 'I0008', 'T0029');
INSERT INTO Booking VALUES ('B0220', '06-MAR-2022', 3, 'PENDING PAYMENT', 100.00, 'I0002', 'T0019');
INSERT INTO Booking VALUES ('B0221', '08-MAR-2022', 3, 'REFUNDED', 190.00, 'I0002', 'T0030');
INSERT INTO Booking VALUES ('B0222', '21-MAR-2022', 4, 'CANCELED', 160.00, 'I0003', 'T0005');
INSERT INTO Booking VALUES ('B0223', '22-MAR-2022', 3, 'PAID', 180.00, 'I0008', 'T0018');
INSERT INTO Booking VALUES ('B0224', '03-APR-2022', 2, 'FAILED', 140.00, 'I0004', 'T0001');
INSERT INTO Booking VALUES ('B0225', '07-APR-2022', 7, 'PENDING PAYMENT', 180.00, 'I0008', 'T0010');
INSERT INTO Booking VALUES ('B0226', '19-APR-2022', 7, 'CANCELED', 190.00, 'I0008', 'T0007');
INSERT INTO Booking VALUES ('B0227', '02-MAY-2022', 7, 'CANCELED', 200.00, 'I0001', 'T0014');
INSERT INTO Booking VALUES ('B0228', '14-MAY-2022', 4, 'PENDING PAYMENT', 190.00, 'I0009', 'T0003');
INSERT INTO Booking VALUES ('B0229', '17-MAY-2022', 6, 'CANCELED', 140.00, 'I0006', 'T0018');
INSERT INTO Booking VALUES ('B0230', '19-MAY-2022', 2, 'PENDING PAYMENT', 110.00, 'I0009', 'T0025');
INSERT INTO Booking VALUES ('B0231', '27-MAY-2022', 4, 'FAILED', 180.00, 'I0009', 'T0018');
INSERT INTO Booking VALUES ('B0232', '04-JUN-2022', 3, 'PENDING PAYMENT', 110.00, 'I0007', 'T0027');
INSERT INTO Booking VALUES ('B0233', '14-JUN-2022', 6, 'CANCELED', 130.00, 'I0003', 'T0019');
